Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-47.502,44.381,-62.463,76.085,-5973.000,-11916.000,-47.351,44.334
0.001,-47.669,44.447,-62.463,76.085,-5976.000,-11917.000,-47.550,44.406
0.002,-47.888,44.566,-62.463,76.085,-5980.000,-11919.000,-47.739,44.482
0.003,-48.084,44.652,-62.463,76.085,-5984.000,-11920.000,-47.939,44.584
0.004,-48.325,44.755,-62.463,76.085,-5988.000,-11921.000,-48.156,44.686
0.005,-48.535,44.835,-62.463,76.085,-5992.000,-11923.000,-48.382,44.778
0.006,-48.710,44.900,-62.463,76.085,-5995.000,-11924.000,-48.590,44.856
0.007,-48.885,44.958,-62.463,76.085,-5998.000,-11925.000,-48.766,44.919
0.008,-49.038,45.024,-62.463,76.085,-6001.000,-11926.000,-48.929,44.978
0.009,-49.147,45.083,-62.463,76.085,-6003.000,-11927.000,-49.072,45.040
0.010,-49.300,45.149,-62.463,76.085,-6006.000,-11928.000,-49.197,45.103
0.011,-49.489,45.215,-62.463,76.085,-6009.000,-11929.000,-49.350,45.168
0.012,-49.663,45.273,-62.463,76.085,-6012.000,-11930.000,-49.535,45.232
0.013,-49.926,45.356,-62.463,76.085,-6016.000,-11931.000,-49.743,45.298
0.014,-50.079,45.422,-62.463,76.085,-6020.000,-11932.000,-49.961,45.372
0.015,-50.297,45.500,-62.463,76.085,-6024.000,-11933.000,-50.155,45.447
0.016,-50.516,45.543,-62.463,76.085,-6027.000,-11933.000,-50.355,45.511
0.017,-50.625,45.603,-62.463,76.085,-6030.000,-11934.000,-50.545,45.565
0.018,-50.800,45.647,-62.463,76.085,-6033.000,-11935.000,-50.690,45.614
0.019,-50.953,45.726,-62.463,76.085,-6036.000,-11936.000,-50.837,45.671
0.020,-51.106,45.792,-62.463,76.085,-6039.000,-11936.000,-50.998,45.742
0.021,-51.259,45.830,-62.463,76.085,-6042.000,-11937.000,-51.152,45.805
0.022,-51.390,45.876,-62.463,76.085,-6044.000,-11938.000,-51.297,45.847
0.023,-51.499,45.935,-62.463,76.085,-6046.000,-11939.000,-51.424,45.892
0.024,-51.652,45.959,-62.463,76.085,-6049.000,-11939.000,-51.546,45.940
0.025,-51.761,46.019,-62.463,76.085,-6051.000,-11940.000,-51.678,45.981
0.026,-51.870,46.079,108.393,-52.597,-6053.000,-11941.000,-51.798,46.033
0.027,-51.980,46.125,108.393,-52.597,-6055.000,-11942.000,-51.903,46.091
0.028,-52.089,46.192,108.393,-52.597,-6057.000,-11943.000,-52.011,46.147
0.029,-52.264,46.208,108.393,-52.597,-6060.000,-11943.000,-52.140,46.194
0.030,-52.373,46.254,108.393,-52.597,-6062.000,-11944.000,-52.288,46.227
0.031,-52.526,46.355,108.393,-52.597,-6064.000,-11945.000,-52.426,46.280
0.032,-52.635,46.401,108.393,-52.597,-6067.000,-11946.000,-52.554,46.361
0.033,-52.788,46.481,108.393,-52.597,-6070.000,-11947.000,-52.684,46.432
0.034,-52.963,46.525,108.393,-52.597,-6073.000,-11948.000,-52.835,46.491
0.035,-53.138,46.562,108.393,-52.597,-6076.000,-11948.000,-53.011,46.539
