Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-56.962,43.260,-62.463,76.085,-6146.000,-11848.000,-57.036,43.008
0.001,-56.743,43.586,-62.463,76.085,-6142.000,-11857.000,-56.891,43.351
0.002,-56.634,43.916,-62.463,76.085,-6140.000,-11866.000,-56.725,43.686
0.003,-56.459,44.282,-62.463,76.085,-6137.000,-11875.000,-56.570,44.023
0.004,-56.350,44.604,-62.463,76.085,-6135.000,-11885.000,-56.433,44.371
0.005,-56.197,44.922,-62.463,76.085,-6132.000,-11893.000,-56.299,44.702
0.006,-56.066,45.160,-62.463,76.085,-6130.000,-11900.000,-56.163,44.993
0.007,-55.978,45.309,-62.463,76.085,-6128.000,-11904.000,-56.038,45.213
0.008,-55.869,45.458,-62.463,76.085,-6126.000,-11908.000,-55.940,45.363
0.009,-55.738,45.552,-62.463,76.085,-6124.000,-11911.000,-55.834,45.484
0.010,-55.629,45.617,-62.463,76.085,-6122.000,-11913.000,-55.710,45.576
0.011,-55.476,45.683,-62.463,76.085,-6119.000,-11916.000,-55.581,45.640
0.012,-55.366,45.790,-62.463,76.085,-6117.000,-11919.000,-55.448,45.713
0.013,-55.214,45.877,-62.463,76.085,-6114.000,-11922.000,-55.317,45.810
0.014,-55.104,45.985,-62.463,76.085,-6112.000,-11925.000,-55.186,45.911
0.015,-54.929,46.072,-62.463,76.085,-6109.000,-11928.000,-55.049,46.009
0.016,-54.820,46.179,-62.463,76.085,-6107.000,-11931.000,-54.905,46.106
0.017,-54.667,46.267,-62.463,76.085,-6104.000,-11934.000,-54.768,46.203
0.018,-54.536,46.374,-62.463,76.085,-6102.000,-11937.000,-54.633,46.300
0.019,-54.427,46.481,-62.463,76.085,-6100.000,-11940.000,-54.503,46.404
0.020,-54.318,46.617,-62.463,76.085,-6098.000,-11944.000,-54.392,46.521
0.021,-54.230,46.702,-62.463,76.085,-6096.000,-11947.000,-54.292,46.639
0.022,-54.099,46.851,-62.463,76.085,-6095.000,-11951.000,-54.190,46.752
0.023,-54.055,47.020,-62.463,76.085,-6093.000,-11955.000,-54.092,46.893
0.024,-53.924,47.092,108.393,-52.597,-6091.000,-11958.000,-54.007,47.038
0.025,-53.837,47.241,108.393,-52.597,-6089.000,-11962.000,-53.908,47.148
0.026,-53.728,47.390,108.393,-52.597,-6087.000,-11966.000,-53.801,47.275
0.027,-53.618,47.539,108.393,-52.597,-6085.000,-11970.000,-53.697,47.431
0.028,-53.509,47.652,108.393,-52.597,-6083.000,-11974.000,-53.587,47.573
0.029,-53.400,47.801,108.393,-52.597,-6081.000,-11978.000,-53.477,47.700
0.030,-53.291,47.992,108.393,-52.597,-6079.000,-11983.000,-53.368,47.852
0.031,-53.167,48.127,108.393,-52.597,-6077.000,-11987.000,-53.255,48.026
0.032,-53.058,48.254,108.393,-52.597,-6075.000,-11991.000,-53.137,48.172
0.033,-52.949,48.403,108.393,-52.597,-6073.000,-11995.000,-53.025,48.300
0.034,-52.840,48.580,108.393,-52.597,-6071.000,-12000.000,-52.917,48.451
0.035,-52.774,48.729,108.393,-52.597,-6070.000,-12004.000,-52.821,48.620
0.036,-52.687,48.904,108.393,-52.597,-6068.000,-12009.000,-52.743,48.784
0.037,-52.578,49.053,108.393,-52.597,-6066.000,-12013.000,-52.657,48.945
0.038,-52.446,49.244,108.393,-52.597,-6064.000,-12018.000,-52.543,49.111
0.039,-52.359,49.399,108.393,-52.597,-6062.000,-12023.000,-52.423,49.285
0.040,-52.250,49.590,108.393,-52.597,-6061.000,-12028.000,-52.321,49.459
0.041,-52.105,49.781,108.393,-52.597,-6058.000,-12033.000,-52.210,49.642
0.042,-52.061,49.977,108.393,-52.597,-6057.000,-12038.000,-52.097,49.837
0.043,-51.952,50.146,108.393,-52.597,-6055.000,-12043.000,-52.016,50.027
0.044,-51.843,50.323,108.393,-52.597,-6053.000,-12048.000,-51.927,50.202
0.045,-51.733,50.514,108.393,-52.597,-6051.000,-12053.000,-51.813,50.378
0.046,-51.624,50.705,108.393,-52.597,-6049.000,-12058.000,-51.700,50.568
0.047,-51.566,50.880,108.393,-52.597,-6048.000,-12062.000,-51.607,50.756
0.048,-51.457,51.029,108.393,-52.597,-6046.000,-12067.000,-51.528,50.926
0.049,-51.392,51.225,108.393,-52.597,-6045.000,-12072.000,-51.444,51.089
0.050,-51.348,51.414,108.393,-52.597,-6044.000,-12077.000,-51.375,51.275
0.051,-51.217,51.591,108.393,-52.597,-6042.000,-12081.000,-51.306,51.467
0.052,-51.159,51.760,108.393,-52.597,-6041.000,-12086.000,-51.211,51.643
0.053,-51.050,51.915,108.393,-52.597,-6039.000,-12090.000,-51.119,51.806
0.054,-51.006,52.062,108.393,-52.597,-6038.000,-12095.000,-51.041,51.960
0.055,-50.941,52.189,108.393,-52.597,-6037.000,-12098.000,-50.980,52.100
0.056,-50.831,52.325,108.393,-52.597,-6035.000,-12101.000,-50.911,52.231
0.057,-50.766,52.388,108.393,-52.597,-6034.000,-12104.000,-50.819,52.342
0.058,-50.678,52.495,108.393,-52.597,-6032.000,-12107.000,-50.735,52.428
0.059,-50.569,52.603,108.393,-52.597,-6030.000,-12110.000,-50.648,52.522
0.060,-50.460,52.668,108.393,-52.597,-6028.000,-12112.000,-50.541,52.621
0.061,-50.351,52.712,108.393,-52.597,-6027.000,-12114.000,-50.428,52.687
0.062,-50.241,52.778,108.393,-52.597,-6024.000,-12116.000,-50.318,52.734
0.063,-50.132,52.843,108.393,-52.597,-6023.000,-12118.000,-50.210,52.793
