Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,2.612,44.128,0.000,65.280,-5054.000,-12000.000,2.537,44.126
0.001,2.713,44.110,0.000,65.280,-5052.000,-12000.000,2.645,44.122
0.002,2.836,44.114,0.000,65.280,-5050.000,-12000.000,2.749,44.114
0.003,2.995,44.112,0.000,65.280,-5048.000,-12000.000,2.879,44.111
0.004,3.118,44.116,0.000,65.280,-5045.000,-12000.000,3.027,44.114
0.005,3.241,44.120,0.000,65.280,-5043.000,-12000.000,3.159,44.117
0.006,3.329,44.138,0.000,65.280,-5041.000,-12000.000,3.268,44.125
0.007,3.452,44.120,0.000,65.280,-5039.000,-12000.000,3.368,44.131
0.008,3.531,44.138,0.000,65.280,-5037.000,-12000.000,3.471,44.129
0.009,3.611,44.140,0.000,65.280,-5036.000,-12000.000,3.559,44.134
0.010,3.712,44.135,0.000,65.280,-5034.000,-12000.000,3.641,44.140
0.011,3.778,44.137,0.000,65.280,-5033.000,-12000.000,3.728,44.137
0.012,3.835,44.139,0.000,65.280,-5032.000,-12000.000,3.799,44.137
0.013,3.937,44.121,0.000,65.280,-5030.000,-12000.000,3.867,44.134
0.014,4.038,44.125,0.000,65.280,-5028.000,-12000.000,3.960,44.125
0.015,4.104,44.141,0.000,65.280,-5027.000,-12000.000,4.057,44.127
0.016,4.205,44.145,0.000,65.280,-5025.000,-12000.000,4.139,44.140
0.017,4.306,44.127,0.000,65.280,-5023.000,-12000.000,4.230,44.142
0.018,4.386,44.129,0.000,65.280,-5022.000,-12000.000,4.329,44.131
0.019,4.487,44.147,0.000,65.280,-5020.000,-12000.000,4.419,44.132
0.020,4.610,44.151,0.000,65.280,-5018.000,-12000.000,4.521,44.146
0.021,4.711,44.133,-0.094,66.270,-5016.000,-12000.000,4.637,44.148
0.022,4.813,44.137,-0.094,66.270,-5014.000,-12000.000,4.744,44.137
0.023,4.856,44.167,-0.094,66.270,-5013.000,-12000.000,4.826,44.143
0.024,4.980,44.171,-0.094,66.270,-5011.000,-12000.000,4.899,44.164
0.025,5.023,44.172,-0.094,66.270,-5010.000,-12000.000,4.983,44.175
0.026,5.125,44.155,-0.094,66.270,-5008.000,-12000.000,5.062,44.168
0.027,5.204,44.156,-0.094,66.270,-5007.000,-12000.000,5.143,44.157
0.028,5.248,44.172,-0.094,66.270,-5006.000,-12000.000,5.218,44.159
0.029,5.305,44.174,-0.094,66.270,-5005.000,-12000.000,5.270,44.171
0.030,5.349,44.154,-0.094,66.270,-5004.000,-12000.000,5.316,44.171
0.031,5.429,44.156,-0.094,66.270,-5003.000,-12000.000,5.373,44.158
0.032,5.530,44.160,-0.094,66.270,-5001.000,-12000.000,5.454,44.155
0.033,5.574,44.162,-0.094,66.270,-5000.000,-12000.000,5.540,44.160
0.034,5.631,44.156,-0.094,66.270,-4999.000,-12000.000,5.598,44.161
0.035,5.754,44.160,-0.094,66.270,-4997.000,-12000.000,5.666,44.158
0.036,5.798,44.162,-0.277,68.191,-4996.000,-12000.000,5.758,44.159
0.037,5.856,44.164,-0.277,68.191,-4995.000,-12000.000,5.825,44.163
0.038,5.899,44.144,-0.277,68.191,-4994.000,-12000.000,5.868,44.158
0.039,5.957,44.146,-0.277,68.191,-4993.000,-12000.000,5.916,44.147
0.040,6.080,44.164,-0.277,68.191,-4991.000,-12000.000,5.991,44.149
0.041,6.124,44.180,-0.277,68.191,-4990.000,-12000.000,6.085,44.166
0.042,6.225,44.162,-0.277,68.191,-4988.000,-12000.000,6.164,44.175
0.043,6.225,44.162,-0.277,68.191,-4988.000,-12000.000,6.220,44.166
0.044,6.283,44.164,-0.277,68.191,-4987.000,-12000.000,6.253,44.160
0.045,6.327,44.166,-0.277,68.191,-4986.000,-12000.000,6.290,44.163
0.046,6.406,44.168,-0.371,69.170,-4985.000,-12000.000,6.350,44.167
0.047,6.450,44.184,-0.371,69.170,-4984.000,-12000.000,6.416,44.173
0.048,6.507,44.186,-0.371,69.170,-4983.000,-12000.000,6.471,44.182
0.049,6.573,44.187,-0.371,69.170,-4982.000,-12000.000,6.525,44.188
0.050,6.609,44.168,-0.371,69.170,-4982.000,-12000.000,6.582,44.182
