Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,539.938,130.365,135.000,135.000,-2243.000,-110.000,-2230.633,-110.000
0.005,539.258,128.756,135.000,135.000,-2260.000,-110.000,-2247.635,-110.000
0.010,538.658,127.347,135.000,135.000,-2275.000,-110.000,-2264.453,-110.000
0.015,538.050,125.944,135.000,135.000,-2290.000,-110.000,-2279.695,-110.000
0.020,537.571,124.822,135.000,135.000,-2302.000,-110.000,-2293.505,-110.000
0.025,537.035,123.606,135.000,135.000,-2315.000,-110.000,-2306.120,-110.000
0.030,536.556,122.453,135.000,135.000,-2327.000,-110.000,-2318.395,-110.000
0.035,536.091,121.438,135.000,135.000,-2338.000,-110.000,-2330.290,-110.000
0.040,535.455,120.015,135.000,135.000,-2353.000,-111.000,-2342.535,-110.293
0.045,534.948,118.843,-135.000,-135.000,-2364.000,-112.000,-2355.725,-111.172
0.050,534.384,117.607,-135.000,-135.000,-2377.000,-113.000,-2368.269,-112.293
0.055,533.905,116.534,-135.000,-135.000,-2389.000,-114.000,-2380.357,-113.314
0.060,533.327,115.248,-135.000,-135.000,-2402.000,-116.000,-2392.850,-114.586
0.065,532.749,114.012,-135.000,-135.000,-2415.000,-117.000,-2405.713,-116.168
0.070,532.077,112.526,-135.000,-135.000,-2429.000,-119.000,-2419.093,-117.707
0.075,531.584,111.475,-135.000,-135.000,-2441.000,-120.000,-2432.410,-119.193
0.080,530.998,110.253,-135.000,-135.000,-2453.000,-121.000,-2444.759,-120.393
0.085,530.455,109.102,-135.000,-135.000,-2466.000,-122.000,-2456.826,-121.310
0.090,529.963,108.037,-135.000,-135.000,-2477.000,-123.000,-2469.059,-122.276
0.095,529.376,106.793,-135.000,-135.000,-2490.000,-124.000,-2481.047,-123.290
0.100,528.898,105.792,-135.000,-135.000,-2501.000,-124.000,-2493.007,-124.003
0.105,528.383,104.675,-135.000,-135.000,-2513.000,-124.000,-2504.716,-124.122
0.110,527.833,103.552,-135.000,-135.000,-2525.000,-124.000,-2516.430,-123.999
0.115,527.362,102.589,-135.000,-135.000,-2535.000,-126.000,-2527.894,-124.565
0.120,526.783,101.410,-135.000,-135.000,-2547.000,-128.000,-2538.772,-126.343
0.125,526.227,100.276,-135.000,-135.000,-2558.000,-131.000,-2549.985,-128.882
0.130,525.629,99.028,-135.000,-135.000,-2570.000,-135.000,-2561.592,-132.092
0.135,525.017,97.817,-135.000,-135.000,-2581.000,-141.000,-2573.141,-136.635
0.140,524.421,96.623,-135.000,-135.000,-2591.000,-149.000,-2584.037,-143.114
0.145,523.739,95.260,-135.000,-135.000,-2602.000,-159.000,-2594.357,-151.707
0.150,523.037,93.926,-135.000,-135.000,-2612.000,-171.000,-2604.789,-162.311
0.155,522.252,92.390,-135.000,-135.000,-2623.000,-187.000,-2615.320,-175.482
0.160,521.318,90.591,-135.000,-135.000,-2635.000,-206.000,-2626.417,-192.115
0.165,520.309,88.683,-135.000,-135.000,-2647.000,-230.000,-2638.377,-212.701
0.170,519.045,86.301,-135.000,-135.000,-2662.000,-259.000,-2651.410,-237.965
0.175,517.647,83.772,-135.000,-135.000,-2677.000,-293.000,-2666.053,-268.408
0.180,516.061,80.871,-135.000,-135.000,-2694.000,-332.000,-2681.976,-303.907
0.185,514.278,77.752,-135.000,-135.000,-2711.000,-378.000,-2698.795,-344.961
0.190,512.414,74.532,-135.000,-135.000,-2727.000,-431.000,-2715.687,-392.763
0.195,510.633,71.549,-135.000,-135.000,-2738.000,-490.000,-2730.375,-447.519
0.200,508.663,68.369,-135.000,-135.000,-2749.000,-555.000,-2741.828,-508.441
0.205,506.661,65.228,-135.000,-135.000,-2759.000,-625.000,-2751.903,-574.905
0.210,504.554,62.054,-135.000,-135.000,-2768.000,-696.000,-2761.653,-645.291
0.215,502.789,59.469,-135.000,-135.000,-2772.000,-766.000,-2769.297,-716.484
0.220,501.231,57.298,-135.000,-135.000,-2772.000,-832.000,-2772.604,-785.539
0.225,499.694,55.227,-135.000,-135.000,-2771.000,-899.000,-2772.171,-852.112
0.230,498.278,53.398,-135.000,-135.000,-2768.000,-966.000,-2770.139,-918.467
0.235,496.873,51.642,-135.000,-135.000,-2763.000,-1034.000,-2766.699,-985.833
0.240,495.461,49.980,-135.000,-135.000,-2757.000,-1104.000,-2761.482,-1054.408
0.245,494.022,48.312,-135.000,-135.000,-2751.000,-1175.000,-2755.336,-1124.567
0.250,492.540,46.650,-135.000,-135.000,-2745.000,-1246.000,-2749.202,-1195.690
0.255,491.029,44.985,-135.000,-135.000,-2740.000,-1316.000,-2743.520,-1266.542
0.260,489.606,43.464,-135.000,-135.000,-2733.000,-1386.000,-2737.835,-1336.642
0.265,488.226,42.116,-135.000,-135.000,-2724.000,-1456.000,-2730.609,-1406.496
0.270,486.796,40.825,-135.000,-135.000,-2715.000,-1529.000,-2721.626,-1477.357
0.275,485.440,39.557,-135.000,-135.000,-2704.000,-1602.000,-2711.736,-1550.018
0.280,483.929,38.218,-135.000,-135.000,-2694.000,-1677.000,-2701.269,-1623.971
0.285,482.327,36.844,-135.000,-135.000,-2684.000,-1754.000,-2690.957,-1699.372
0.290,480.676,35.464,-135.000,-135.000,-2674.000,-1833.000,-2681.037,-1776.895
0.295,479.012,34.090,-135.000,-135.000,-2664.000,-1913.000,-2671.091,-1856.220
0.300,477.463,32.968,-135.000,-135.000,-2651.000,-1992.000,-2660.198,-1936.059
0.305,475.880,31.918,-135.000,-135.000,-2637.000,-2075.000,-2647.260,-2016.468
0.310,474.284,30.889,-135.000,-135.000,-2622.000,-2157.000,-2632.727,-2098.546
0.315,472.625,29.847,-135.000,-135.000,-2608.000,-2241.000,-2617.959,-2181.697
0.320,470.939,28.878,-135.000,-135.000,-2592.000,-2328.000,-2603.172,-2266.320
0.325,469.142,27.844,-135.000,-135.000,-2577.000,-2415.000,-2587.839,-2353.102
0.330,467.515,27.103,-135.000,-135.000,-2559.000,-2503.000,-2571.631,-2440.802
0.335,465.712,26.234,-135.000,-135.000,-2542.000,-2593.000,-2554.345,-2529.304
0.340,463.980,25.507,-135.000,-135.000,-2524.000,-2681.000,-2536.623,-2618.527
0.345,462.552,25.208,-135.000,-135.000,-2502.000,-2768.000,-2517.622,-2706.734
0.350,461.160,25.002,-135.000,-135.000,-2479.000,-2853.000,-2495.767,-2793.060
