Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-81.678,46.801,-62.463,76.085,-6597.000,-11800.000,-81.790,46.812
0.001,-81.495,46.763,-62.463,76.085,-6594.000,-11800.000,-81.634,46.794
0.002,-81.342,46.759,-62.463,76.085,-6591.000,-11801.000,-81.454,46.764
0.003,-81.182,46.721,-62.463,76.085,-6588.000,-11801.000,-81.290,46.743
0.004,-81.029,46.703,-62.463,76.085,-6585.000,-11802.000,-81.137,46.719
0.005,-80.846,46.679,-62.463,76.085,-6582.000,-11802.000,-80.975,46.694
0.006,-80.693,46.661,-62.463,76.085,-6579.000,-11803.000,-80.805,46.674
0.007,-80.532,46.623,-62.463,76.085,-6576.000,-11803.000,-80.642,46.650
0.008,-80.401,46.639,-62.463,76.085,-6574.000,-11804.000,-80.494,46.630
0.009,-80.248,46.601,-62.463,76.085,-6571.000,-11804.000,-80.353,46.622
0.010,-80.153,46.562,-62.463,76.085,-6569.000,-11804.000,-80.223,46.596
0.011,-79.956,46.579,-62.463,76.085,-6566.000,-11805.000,-80.089,46.568
0.012,-79.817,46.520,-62.463,76.085,-6563.000,-11805.000,-79.927,46.554
0.013,-79.642,46.482,-62.463,76.085,-6560.000,-11805.000,-79.760,46.518
0.014,-79.503,46.436,-62.463,76.085,-6557.000,-11805.000,-79.604,46.467
0.015,-79.328,46.398,-62.463,76.085,-6554.000,-11805.000,-79.449,46.424
0.016,-79.146,46.374,-62.463,76.085,-6551.000,-11805.000,-79.279,46.390
0.017,-79.058,46.334,-62.463,76.085,-6549.000,-11805.000,-79.121,46.361
0.018,-78.941,46.295,-62.463,76.085,-6547.000,-11805.000,-79.012,46.325
0.019,-78.832,46.277,-62.463,76.085,-6545.000,-11805.000,-78.912,46.290
0.020,-78.722,46.251,-62.463,76.085,-6543.000,-11805.000,-78.801,46.266
0.021,-78.562,46.213,-62.463,76.085,-6540.000,-11805.000,-78.675,46.241
0.022,-78.452,46.173,-62.463,76.085,-6538.000,-11805.000,-78.536,46.203
0.023,-78.291,46.127,-62.463,76.085,-6535.000,-11805.000,-78.399,46.160
0.024,-78.182,46.109,-62.463,76.085,-6533.000,-11805.000,-78.265,46.123
0.025,-78.007,46.086,-62.463,76.085,-6530.000,-11805.000,-78.126,46.099
0.026,-77.912,46.046,-62.463,76.085,-6528.000,-11805.000,-77.986,46.075
0.027,-77.737,46.008,-62.463,76.085,-6525.000,-11805.000,-77.852,46.037
0.028,-77.642,45.982,-62.463,76.085,-6523.000,-11805.000,-77.718,46.000
0.029,-77.533,45.942,-62.463,76.085,-6521.000,-11805.000,-77.602,45.969
0.030,-77.423,45.924,-62.463,76.085,-6519.000,-11805.000,-77.501,45.939
0.031,-77.306,45.885,108.393,-52.597,-6517.000,-11805.000,-77.390,45.910
0.032,-77.219,45.900,108.393,-52.597,-6515.000,-11806.000,-77.281,45.892
0.033,-77.088,45.882,108.393,-52.597,-6513.000,-11806.000,-77.176,45.889
0.034,-76.978,45.843,108.393,-52.597,-6511.000,-11806.000,-77.061,45.874
0.035,-76.861,45.825,108.393,-52.597,-6509.000,-11806.000,-76.942,45.841
0.036,-76.774,45.799,108.393,-52.597,-6507.000,-11806.000,-76.836,45.814
0.037,-76.643,45.759,108.393,-52.597,-6505.000,-11806.000,-76.732,45.787
0.038,-76.547,45.741,108.393,-52.597,-6503.000,-11806.000,-76.620,45.756
0.039,-76.416,45.723,108.393,-52.597,-6501.000,-11806.000,-76.505,45.733
0.040,-76.394,45.723,108.393,-52.597,-6500.000,-11807.000,-76.413,45.723
0.041,-76.263,45.719,108.393,-52.597,-6498.000,-11807.000,-76.343,45.720
0.042,-76.168,45.679,108.393,-52.597,-6496.000,-11807.000,-76.248,45.708
0.043,-76.037,45.661,108.393,-52.597,-6494.000,-11807.000,-76.127,45.679
0.044,-76.015,45.641,108.393,-52.597,-6493.000,-11807.000,-76.033,45.653
0.045,-75.884,45.616,108.393,-52.597,-6491.000,-11807.000,-75.964,45.633
0.046,-75.818,45.659,108.393,-52.597,-6490.000,-11808.000,-75.878,45.630
0.047,-75.775,45.653,108.393,-52.597,-6489.000,-11808.000,-75.800,45.649
0.048,-75.657,45.614,108.393,-52.597,-6487.000,-11808.000,-75.735,45.647
0.049,-75.614,45.594,108.393,-52.597,-6486.000,-11808.000,-75.655,45.613
0.050,-75.505,45.617,108.393,-52.597,-6484.000,-11809.000,-75.574,45.597
0.051,-75.439,45.611,108.393,-52.597,-6483.000,-11809.000,-75.492,45.609
0.052,-75.395,45.592,108.393,-52.597,-6482.000,-11809.000,-75.422,45.610
0.053,-75.278,45.574,108.393,-52.597,-6480.000,-11809.000,-75.357,45.589
0.054,-75.191,45.576,108.393,-52.597,-6478.000,-11810.000,-75.262,45.573
0.055,-75.125,45.556,108.393,-52.597,-6477.000,-11810.000,-75.168,45.567
