Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.001,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.002,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.003,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.004,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.005,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.006,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.007,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.008,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.009,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.010,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.011,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.012,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.013,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.014,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.015,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.016,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.017,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.018,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.019,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.020,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.021,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.022,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.023,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.024,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.025,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.026,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.027,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.028,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.029,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.030,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.031,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.032,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.033,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.034,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.035,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.036,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.037,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.038,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.039,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.040,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.041,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.042,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.043,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.044,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.045,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.046,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.047,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.048,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.049,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.050,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.051,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.052,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.053,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.054,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.055,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.056,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.057,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.058,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.059,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.060,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.061,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.062,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.063,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
0.064,-9.721,72.125,-71.700,-98.400,-5243.000,-12704.000,-9.721,72.125
