Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-15.302,59.942,0.000,0.000,-5359.000,-12391.000,-15.337,59.934
0.001,-15.193,59.924,0.000,0.000,-5357.000,-12391.000,-15.265,59.933
0.002,-15.149,59.926,0.000,0.000,-5356.000,-12391.000,-15.188,59.928
0.003,-15.070,59.928,0.000,0.000,-5355.000,-12391.000,-15.119,59.925
0.004,-14.982,59.910,0.000,0.000,-5353.000,-12391.000,-15.047,59.922
0.005,-14.939,59.926,0.000,0.000,-5352.000,-12391.000,-14.972,59.918
0.006,-14.829,59.908,0.000,0.000,-5350.000,-12391.000,-14.901,59.917
0.007,-14.764,59.910,0.000,0.000,-5349.000,-12391.000,-14.818,59.912
0.008,-14.663,59.914,0.000,0.000,-5347.000,-12391.000,-14.730,59.909
0.009,-14.619,59.894,0.000,0.000,-5346.000,-12391.000,-14.653,59.907
0.010,-14.510,59.890,0.000,0.000,-5344.000,-12391.000,-14.581,59.896
0.011,-14.400,59.894,0.000,0.000,-5342.000,-12391.000,-14.485,59.889
0.012,-14.357,59.896,0.000,0.000,-5341.000,-12391.000,-14.389,59.893
0.013,-14.255,59.878,0.000,0.000,-5339.000,-12391.000,-14.318,59.891
0.014,-14.146,59.874,0.000,0.000,-5337.000,-12391.000,-14.230,59.879
0.015,-14.102,59.876,0.000,0.000,-5336.000,-12391.000,-14.136,59.873
0.016,-13.993,59.880,0.000,0.000,-5334.000,-12391.000,-14.061,59.876
0.017,-13.936,59.860,0.000,0.000,-5333.000,-12391.000,-13.984,59.874
0.018,-13.848,59.842,0.523,-0.578,-5331.000,-12391.000,-13.905,59.858
0.019,-13.739,59.860,0.523,-0.578,-5329.000,-12391.000,-13.818,59.847
0.020,-13.673,59.862,0.523,-0.578,-5328.000,-12391.000,-13.723,59.855
0.021,-13.564,59.844,0.523,-0.578,-5326.000,-12391.000,-13.636,59.858
0.022,-13.528,59.846,0.523,-0.578,-5325.000,-12391.000,-13.558,59.848
0.023,-13.463,59.868,0.523,-0.578,-5324.000,-12392.000,-13.501,59.849
0.024,-13.375,59.885,0.523,-0.578,-5322.000,-12392.000,-13.440,59.870
0.025,-13.266,59.867,0.523,-0.578,-5320.000,-12392.000,-13.347,59.881
0.026,-13.179,59.849,0.523,-0.578,-5318.000,-12392.000,-13.243,59.867
0.027,-13.099,59.851,0.523,-0.578,-5317.000,-12392.000,-13.152,59.850
0.028,-13.012,59.869,0.523,-0.578,-5315.000,-12392.000,-13.072,59.853
0.029,-12.903,59.893,0.523,-0.578,-5313.000,-12393.000,-12.981,59.874
0.030,-12.815,59.875,0.523,-0.578,-5311.000,-12393.000,-12.880,59.888
0.031,-12.692,59.893,0.523,-0.578,-5309.000,-12393.000,-12.776,59.886
0.032,-12.583,59.911,0.523,-0.578,-5307.000,-12393.000,-12.664,59.894
0.033,-12.539,59.933,0.523,-0.578,-5306.000,-12394.000,-12.569,59.916
0.034,-12.452,59.915,0.523,-0.578,-5304.000,-12394.000,-12.505,59.928
0.035,-12.328,59.919,0.523,-0.578,-5302.000,-12394.000,-12.421,59.921
0.036,-12.219,59.964,0.523,-0.578,-5300.000,-12395.000,-12.302,59.929
0.037,-12.176,59.966,0.523,-0.578,-5299.000,-12395.000,-12.204,59.959
0.038,-12.088,59.962,2.083,-2.300,-5297.000,-12395.000,-12.141,59.971
0.039,-12.044,59.984,2.083,-2.300,-5296.000,-12396.000,-12.081,59.970
0.040,-11.935,59.988,2.083,-2.300,-5294.000,-12396.000,-12.009,59.981
0.041,-11.812,59.992,2.083,-2.300,-5292.000,-12396.000,-11.906,59.991
0.042,-11.768,60.014,2.083,-2.300,-5291.000,-12397.000,-11.802,59.999
0.043,-11.681,59.996,2.083,-2.300,-5289.000,-12397.000,-11.732,60.006
0.044,-11.572,60.055,2.083,-2.300,-5287.000,-12397.000,-11.654,60.018
0.045,-11.448,60.059,2.083,-2.300,-5285.000,-12398.000,-11.540,60.047
0.046,-11.317,60.021,2.083,-2.300,-5282.000,-12398.000,-11.411,60.054
0.047,-11.208,60.067,2.083,-2.300,-5280.000,-12399.000,-11.286,60.041
0.048,-11.143,60.083,2.083,-2.300,-5279.000,-12399.000,-11.186,60.061
0.049,-11.041,60.129,2.083,-2.300,-5277.000,-12400.000,-11.108,60.099
0.050,-10.954,60.111,2.083,-2.300,-5275.000,-12400.000,-11.020,60.122
0.051,-10.845,60.093,2.083,-2.300,-5273.000,-12400.000,-10.921,60.113
0.052,-10.735,60.138,2.083,-2.300,-5271.000,-12401.000,-10.814,60.106
0.053,-10.612,60.134,2.083,-2.300,-5269.000,-12401.000,-10.699,60.128
0.054,-10.590,60.136,2.083,-2.300,-5268.000,-12401.000,-10.607,60.141
0.055,-10.481,60.160,2.083,-2.300,-5266.000,-12402.000,-10.546,60.144
0.056,-10.372,60.164,2.083,-2.300,-5264.000,-12402.000,-10.459,60.158
0.057,-10.249,60.182,2.083,-2.300,-5262.000,-12402.000,-10.338,60.171
0.058,-10.161,60.164,2.083,-2.300,-5260.000,-12402.000,-10.223,60.175
0.059,-10.074,60.146,2.083,-2.300,-5258.000,-12402.000,-10.131,60.163
0.060,-9.951,60.192,2.083,-2.300,-5256.000,-12403.000,-10.038,60.159
0.061,-9.820,60.189,2.083,-2.300,-5253.000,-12403.000,-9.917,60.183
0.062,-9.710,60.172,2.083,-2.300,-5251.000,-12403.000,-9.789,60.190
