Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-46.298,48.311,-62.463,76.085,-5950.000,-12019.000,-46.222,48.176
0.001,-46.473,48.521,-62.463,76.085,-5953.000,-12023.000,-46.356,48.376
0.002,-46.604,48.712,-62.463,76.085,-5956.000,-12028.000,-46.504,48.575
0.003,-46.735,48.883,-62.463,76.085,-5958.000,-12032.000,-46.647,48.764
0.004,-46.888,49.052,-62.463,76.085,-5961.000,-12036.000,-46.782,48.936
0.005,-46.954,49.225,-62.463,76.085,-5962.000,-12040.000,-46.904,49.103
0.006,-47.041,49.355,-62.463,76.085,-5964.000,-12043.000,-46.990,49.262
0.007,-47.151,49.498,-62.463,76.085,-5966.000,-12046.000,-47.071,49.402
0.008,-47.282,49.585,-62.463,76.085,-5968.000,-12048.000,-47.185,49.522
0.009,-47.369,49.695,-62.463,76.085,-5970.000,-12050.000,-47.305,49.623
0.010,-47.478,49.796,-62.463,76.085,-5972.000,-12052.000,-47.407,49.722
0.011,-47.544,49.884,-62.463,76.085,-5973.000,-12054.000,-47.495,49.822
0.012,-47.697,49.985,-62.463,76.085,-5976.000,-12056.000,-47.593,49.916
0.013,-47.806,50.073,-62.463,76.085,-5978.000,-12058.000,-47.719,50.009
0.014,-47.915,50.174,-62.463,76.085,-5980.000,-12060.000,-47.843,50.104
0.015,-48.025,50.262,-62.463,76.085,-5982.000,-12062.000,-47.949,50.198
0.016,-48.112,50.343,-62.463,76.085,-5984.000,-12063.000,-48.049,50.287
0.017,-48.243,50.431,-62.463,76.085,-5986.000,-12065.000,-48.153,50.370
0.018,-48.352,50.532,-62.463,76.085,-5988.000,-12067.000,-48.270,50.460
0.019,-48.462,50.620,-62.463,76.085,-5990.000,-12069.000,-48.387,50.556
0.020,-48.549,50.707,-62.463,76.085,-5992.000,-12071.000,-48.488,50.647
0.021,-48.666,50.809,-62.463,76.085,-5993.000,-12073.000,-48.586,50.737
0.022,-48.710,50.898,-62.463,76.085,-5995.000,-12075.000,-48.675,50.833
0.023,-48.819,51.041,-62.463,76.085,-5997.000,-12078.000,-48.750,50.942
0.024,-48.928,51.129,108.393,-52.597,-5999.000,-12080.000,-48.844,51.061
0.025,-49.038,51.230,108.393,-52.597,-6001.000,-12082.000,-48.959,51.165
0.026,-49.081,51.320,108.393,-52.597,-6002.000,-12084.000,-49.052,51.256
0.027,-49.199,51.421,108.393,-52.597,-6004.000,-12086.000,-49.124,51.350
0.028,-49.286,51.551,108.393,-52.597,-6006.000,-12089.000,-49.215,51.458
0.029,-49.395,51.652,108.393,-52.597,-6008.000,-12091.000,-49.320,51.577
0.030,-49.461,51.741,108.393,-52.597,-6009.000,-12093.000,-49.413,51.682
0.031,-49.570,51.843,108.393,-52.597,-6011.000,-12095.000,-49.498,51.773
0.032,-49.636,51.911,108.393,-52.597,-6012.000,-12097.000,-49.584,51.861
0.033,-49.644,51.972,108.393,-52.597,-6013.000,-12098.000,-49.642,51.932
0.034,-49.775,52.060,108.393,-52.597,-6015.000,-12100.000,-49.690,51.999
0.035,-49.818,52.163,108.393,-52.597,-6016.000,-12102.000,-49.772,52.086
0.036,-49.884,52.245,108.393,-52.597,-6017.000,-12104.000,-49.847,52.185
0.037,-49.928,52.332,108.393,-52.597,-6018.000,-12106.000,-49.897,52.274
0.038,-50.023,52.436,108.393,-52.597,-6020.000,-12108.000,-49.957,52.362
0.039,-50.067,52.525,108.393,-52.597,-6021.000,-12110.000,-50.029,52.459
0.040,-50.132,52.607,108.393,-52.597,-6022.000,-12112.000,-50.092,52.551
0.041,-50.241,52.694,108.393,-52.597,-6024.000,-12114.000,-50.163,52.634
0.042,-50.307,52.797,108.393,-52.597,-6025.000,-12116.000,-50.254,52.723
0.043,-50.337,52.907,108.393,-52.597,-6026.000,-12118.000,-50.321,52.827
0.044,-50.380,53.010,108.393,-52.597,-6027.000,-12121.000,-50.355,52.937
0.045,-50.446,53.100,108.393,-52.597,-6028.000,-12123.000,-50.397,53.038
0.046,-50.541,53.243,108.393,-52.597,-6030.000,-12126.000,-50.470,53.143
0.047,-50.585,53.311,108.393,-52.597,-6031.000,-12128.000,-50.551,53.256
0.048,-50.651,53.414,108.393,-52.597,-6032.000,-12130.000,-50.611,53.350
0.049,-50.738,53.543,108.393,-52.597,-6034.000,-12133.000,-50.674,53.449
0.050,-50.790,53.647,108.393,-52.597,-6035.000,-12135.000,-50.749,53.569
0.051,-50.855,53.714,108.393,-52.597,-6036.000,-12137.000,-50.814,53.670
0.052,-50.899,53.818,108.393,-52.597,-6037.000,-12139.000,-50.867,53.750
0.053,-50.964,53.885,108.393,-52.597,-6038.000,-12141.000,-50.920,53.832
0.054,-50.994,53.989,108.393,-52.597,-6039.000,-12143.000,-50.971,53.919
0.055,-51.060,54.092,108.393,-52.597,-6040.000,-12145.000,-51.017,54.015
0.056,-51.104,54.140,108.393,-52.597,-6041.000,-12146.000,-51.069,54.105
0.057,-51.104,54.223,108.393,-52.597,-6041.000,-12148.000,-51.105,54.172
0.058,-51.133,54.263,108.393,-52.597,-6042.000,-12149.000,-51.118,54.231
0.059,-51.199,54.353,108.393,-52.597,-6043.000,-12151.000,-51.149,54.293
0.060,-51.264,54.392,108.393,-52.597,-6044.000,-12152.000,-51.213,54.359
0.061,-51.264,54.434,108.393,-52.597,-6044.000,-12153.000,-51.265,54.410
0.062,-51.308,54.496,108.393,-52.597,-6045.000,-12154.000,-51.286,54.453
0.063,-51.360,54.522,108.393,-52.597,-6046.000,-12155.000,-51.318,54.500
0.064,-51.360,54.522,108.393,-52.597,-6046.000,-12155.000,-51.357,54.526
0.065,-51.374,54.480,108.393,-52.597,-6046.000,-12154.000,-51.371,54.513
0.066,-51.374,54.452,108.393,-52.597,-6046.000,-12154.000,-51.372,54.476
0.067,-51.374,54.410,108.393,-52.597,-6046.000,-12152.000,-51.374,54.437
0.068,-51.374,54.369,108.393,-52.597,-6046.000,-12151.000,-51.374,54.399
