Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-61.135,40.864,-62.463,76.085,-6222.000,-11768.000,-6221.310,-11766.586
0.001,-61.135,40.948,-62.463,76.085,-6222.000,-11770.000,-6222.003,-11768.586
0.002,-61.201,41.037,-62.463,76.085,-6223.000,-11772.000,-6222.411,-11770.586
0.003,-61.244,41.119,-62.463,76.085,-6224.000,-11773.000,-6223.171,-11772.293
0.004,-61.310,41.167,-62.463,76.085,-6225.000,-11775.000,-6224.273,-11773.707
0.005,-61.310,41.250,-62.463,76.085,-6225.000,-11777.000,-6225.021,-11775.464
0.006,-61.375,41.332,-62.463,76.085,-6226.000,-11779.000,-6225.418,-11777.565
0.007,-61.419,41.421,-62.463,76.085,-6227.000,-11781.000,-6226.168,-11779.607
0.008,-61.419,41.505,-62.463,76.085,-6227.000,-11783.000,-6226.979,-11781.589
0.009,-61.485,41.566,-62.463,76.085,-6228.000,-11784.000,-6227.436,-11783.289
0.010,-61.485,41.636,-62.463,76.085,-6228.000,-11786.000,-6227.882,-11784.706
0.011,-61.528,41.739,-62.463,76.085,-6229.000,-11788.000,-6228.390,-11786.465
0.012,-61.528,41.781,-62.463,76.085,-6229.000,-11789.000,-6228.899,-11788.272
0.013,-61.572,41.849,-62.463,76.085,-6230.000,-11791.000,-6229.398,-11789.728
0.014,-61.638,41.952,-62.463,76.085,-6231.000,-11793.000,-6230.189,-11791.468
0.015,-61.638,41.994,-62.463,76.085,-6231.000,-11794.000,-6230.982,-11793.269
0.016,-61.703,42.083,-62.463,76.085,-6232.000,-11796.000,-6231.432,-11794.727
0.017,-61.703,42.125,-62.463,76.085,-6232.000,-11797.000,-6231.882,-11796.176
0.018,-61.747,42.206,-62.463,76.085,-6233.000,-11799.000,-6232.390,-11797.683
0.019,-61.812,42.268,-62.463,76.085,-6233.000,-11800.000,-6232.899,-11799.192
0.020,-61.812,42.338,-62.463,76.085,-6234.000,-11802.000,-6233.397,-11800.690
0.021,-61.878,42.377,-62.463,76.085,-6235.000,-11803.000,-6234.189,-11802.189
0.022,-61.878,42.461,-62.463,76.085,-6235.000,-11805.000,-6234.982,-11803.689
0.023,-61.900,42.509,-62.463,76.085,-6236.000,-11806.000,-6235.432,-11805.189
0.024,-61.900,42.592,-62.463,76.085,-6236.000,-11808.000,-6235.882,-11806.689
0.025,-61.965,42.654,-62.463,76.085,-6237.000,-11809.000,-6236.390,-11808.189
0.026,-61.965,42.696,-62.463,76.085,-6237.000,-11810.000,-6236.899,-11809.396
