Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-60.370,41.878,-62.463,76.085,-6208.000,-11797.000,-60.410,41.759
0.001,-60.261,42.033,-62.463,76.085,-6206.000,-11802.000,-60.329,41.925
0.002,-60.217,42.222,-62.463,76.085,-6205.000,-11806.000,-60.255,42.090
0.003,-60.086,42.357,-62.463,76.085,-6203.000,-11811.000,-60.173,42.257
0.004,-60.042,42.568,-62.463,76.085,-6202.000,-11816.000,-60.083,42.425
0.005,-59.911,42.681,-62.463,76.085,-6200.000,-11820.000,-59.995,42.592
0.006,-59.824,42.830,-62.463,76.085,-6198.000,-11824.000,-59.895,42.735
0.007,-59.758,42.977,-62.463,76.085,-6197.000,-11828.000,-59.801,42.870
0.008,-59.649,43.084,-62.463,76.085,-6195.000,-11831.000,-59.722,43.007
0.009,-59.584,43.217,-62.463,76.085,-6194.000,-11835.000,-59.636,43.129
0.010,-59.540,43.345,-62.463,76.085,-6193.000,-11838.000,-59.566,43.252
0.011,-59.496,43.450,-62.463,76.085,-6192.000,-11841.000,-59.523,43.375
0.012,-59.431,43.541,-62.463,76.085,-6191.000,-11844.000,-59.478,43.480
0.013,-59.321,43.649,-62.463,76.085,-6189.000,-11847.000,-59.402,43.575
0.014,-59.256,43.754,-62.463,76.085,-6188.000,-11850.000,-59.307,43.677
0.015,-59.212,43.839,-62.463,76.085,-6187.000,-11852.000,-59.237,43.779
0.016,-59.147,43.945,-62.463,76.085,-6186.000,-11855.000,-59.189,43.873
0.017,-59.147,44.056,-62.463,76.085,-6186.000,-11858.000,-59.150,43.975
0.018,-59.103,44.120,-62.463,76.085,-6185.000,-11860.000,-59.126,44.074
0.019,-59.059,44.247,-62.463,76.085,-6184.000,-11863.000,-59.095,44.163
0.020,-58.928,44.312,-62.463,76.085,-6182.000,-11865.000,-59.022,44.259
0.021,-58.884,44.404,-62.463,76.085,-6181.000,-11868.000,-58.925,44.346
0.022,-58.819,44.509,-62.463,76.085,-6180.000,-11870.000,-58.854,44.433
0.023,-58.753,44.595,-62.463,76.085,-6179.000,-11873.000,-58.801,44.532
0.024,-58.731,44.658,-62.463,76.085,-6178.000,-11875.000,-58.749,44.616
0.025,-58.666,44.764,-62.463,76.085,-6177.000,-11878.000,-58.707,44.692
0.026,-58.600,44.835,-62.463,76.085,-6176.000,-11880.000,-58.652,44.779
0.027,-58.557,44.899,-62.463,76.085,-6175.000,-11882.000,-58.588,44.857
0.028,-58.557,44.982,-62.463,76.085,-6175.000,-11884.000,-58.553,44.925
0.029,-58.491,45.046,-62.463,76.085,-6174.000,-11886.000,-58.532,44.998
0.030,-58.426,45.173,-62.463,76.085,-6173.000,-11889.000,-58.480,45.085
0.031,-58.338,45.217,-62.463,76.085,-6171.000,-11891.000,-58.401,45.179
0.032,-58.324,45.286,-62.463,76.085,-6171.000,-11893.000,-58.335,45.247
0.033,-58.259,45.372,-62.463,76.085,-6170.000,-11895.000,-58.296,45.309
0.034,-58.215,45.435,-62.463,76.085,-6169.000,-11897.000,-58.252,45.387
0.035,-58.215,45.561,-62.463,76.085,-6169.000,-11900.000,-58.214,45.475
0.036,-58.149,45.610,-62.463,76.085,-6168.000,-11901.000,-58.189,45.568
0.037,-58.149,45.652,-62.463,76.085,-6168.000,-11903.000,-58.158,45.631
0.038,-58.084,45.738,-62.463,76.085,-6167.000,-11905.000,-58.123,45.679
0.039,-58.084,45.821,-62.463,76.085,-6167.000,-11907.000,-58.090,45.755
0.040,-58.040,45.885,108.393,-52.597,-6166.000,-11909.000,-58.064,45.840
0.041,-58.040,45.954,108.393,-52.597,-6166.000,-11911.000,-58.044,45.909
0.042,-57.975,46.081,108.393,-52.597,-6165.000,-11914.000,-58.017,45.991
0.043,-57.975,46.165,108.393,-52.597,-6165.000,-11916.000,-57.982,46.098
0.044,-57.975,46.276,108.393,-52.597,-6165.000,-11919.000,-57.967,46.203
0.045,-57.931,46.340,108.393,-52.597,-6164.000,-11921.000,-57.961,46.293
0.046,-57.931,46.465,108.393,-52.597,-6164.000,-11924.000,-57.937,46.381
0.047,-57.917,46.549,108.393,-52.597,-6164.000,-11926.000,-57.922,46.482
0.048,-57.917,46.674,108.393,-52.597,-6164.000,-11929.000,-57.918,46.589
0.049,-57.917,46.785,108.393,-52.597,-6164.000,-11932.000,-57.916,46.703
0.050,-57.917,46.910,108.393,-52.597,-6164.000,-11935.000,-57.917,46.823
0.051,-57.917,46.980,108.393,-52.597,-6164.000,-11937.000,-57.917,46.930
0.052,-57.917,47.105,108.393,-52.597,-6164.000,-11940.000,-57.917,47.023
0.053,-57.917,47.230,108.393,-52.597,-6164.000,-11943.000,-57.917,47.135
0.054,-57.903,47.342,108.393,-52.597,-6164.000,-11946.000,-57.913,47.262
0.055,-57.903,47.467,108.393,-52.597,-6164.000,-11949.000,-57.905,47.381
