Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-46.569,45.909,-62.463,76.085,-5955.000,-11958.000,-46.480,45.806
0.001,-46.722,46.058,-62.463,76.085,-5958.000,-11961.000,-46.619,45.956
0.002,-46.831,46.188,-62.463,76.085,-5960.000,-11964.000,-46.750,46.096
0.003,-46.940,46.331,-62.463,76.085,-5962.000,-11967.000,-46.867,46.232
0.004,-47.093,46.480,-62.463,76.085,-5965.000,-11970.000,-46.985,46.373
0.005,-47.216,46.609,-62.463,76.085,-5967.000,-11973.000,-47.123,46.517
0.006,-47.369,46.759,-62.463,76.085,-5970.000,-11976.000,-47.264,46.656
0.007,-47.478,46.902,-62.463,76.085,-5972.000,-11979.000,-47.399,46.798
0.008,-47.588,47.031,-62.463,76.085,-5974.000,-11982.000,-47.515,46.940
0.009,-47.741,47.180,-62.463,76.085,-5977.000,-11985.000,-47.633,47.077
0.010,-47.850,47.268,-62.463,76.085,-5979.000,-11987.000,-47.766,47.203
0.011,-48.025,47.367,-62.463,76.085,-5981.000,-11989.000,-47.906,47.304
0.012,-48.112,47.518,-62.463,76.085,-5984.000,-11992.000,-48.043,47.410
0.013,-48.243,47.620,-62.463,76.085,-5986.000,-11994.000,-48.160,47.541
0.014,-48.396,47.705,-62.463,76.085,-5989.000,-11996.000,-48.284,47.651
0.015,-48.527,47.793,-62.463,76.085,-5990.000,-11998.000,-48.430,47.734
0.016,-48.615,47.874,-62.463,76.085,-5993.000,-11999.000,-48.556,47.815
0.017,-48.789,47.960,-62.463,76.085,-5996.000,-12001.000,-48.672,47.900
0.018,-48.899,48.047,-62.463,76.085,-5998.000,-12003.000,-48.810,47.985
0.019,-49.052,48.127,-62.463,76.085,-6001.000,-12004.000,-48.950,48.071
0.020,-49.226,48.234,-62.463,76.085,-6004.000,-12006.000,-49.099,48.160
0.021,-49.379,48.300,-62.463,76.085,-6007.000,-12007.000,-49.267,48.250
0.022,-49.532,48.400,-62.463,76.085,-6010.000,-12009.000,-49.427,48.334
0.023,-49.663,48.487,-62.463,76.085,-6012.000,-12011.000,-49.571,48.422
0.024,-49.751,48.569,-62.463,76.085,-6014.000,-12012.000,-49.691,48.512
0.025,-49.926,48.654,-62.463,76.085,-6017.000,-12014.000,-49.807,48.595
0.026,-49.969,48.716,-62.463,76.085,-6018.000,-12015.000,-49.927,48.672
0.027,-50.079,48.803,-62.463,76.085,-6020.000,-12017.000,-50.016,48.744
0.028,-50.188,48.863,-62.463,76.085,-6022.000,-12018.000,-50.105,48.818
0.029,-50.297,48.951,-62.463,76.085,-6024.000,-12020.000,-50.217,48.892
0.030,-50.450,49.030,-62.463,76.085,-6027.000,-12021.000,-50.343,48.971
0.031,-50.559,49.118,108.393,-52.597,-6029.000,-12023.000,-50.477,49.056
0.032,-50.734,49.225,108.393,-52.597,-6032.000,-12025.000,-50.616,49.149
0.033,-50.822,49.285,108.393,-52.597,-6034.000,-12026.000,-50.753,49.240
0.034,-50.982,49.392,108.393,-52.597,-6037.000,-12028.000,-50.878,49.322
0.035,-51.092,49.452,108.393,-52.597,-6039.000,-12029.000,-51.007,49.404
0.036,-51.201,49.561,108.393,-52.597,-6041.000,-12031.000,-51.128,49.489
0.037,-51.310,49.621,108.393,-52.597,-6043.000,-12032.000,-51.234,49.574
0.038,-51.419,49.709,108.393,-52.597,-6045.000,-12034.000,-51.341,49.652
0.039,-51.529,49.810,108.393,-52.597,-6047.000,-12036.000,-51.451,49.736
0.040,-51.638,49.898,108.393,-52.597,-6049.000,-12038.000,-51.561,49.833
0.041,-51.733,49.957,108.393,-52.597,-6051.000,-12039.000,-51.666,49.917
0.042,-51.843,50.045,108.393,-52.597,-6053.000,-12041.000,-51.767,49.987
0.043,-51.952,50.146,108.393,-52.597,-6055.000,-12043.000,-51.873,50.071
0.044,-52.105,50.254,108.393,-52.597,-6058.000,-12045.000,-51.996,50.175
0.045,-52.236,50.313,108.393,-52.597,-6060.000,-12046.000,-52.138,50.271
0.046,-52.375,50.443,108.393,-52.597,-6063.000,-12048.000,-52.279,50.357
0.047,-52.484,50.530,108.393,-52.597,-6065.000,-12050.000,-52.407,50.460
0.048,-52.593,50.590,108.393,-52.597,-6067.000,-12051.000,-52.519,50.552
0.049,-52.703,50.677,108.393,-52.597,-6069.000,-12053.000,-52.625,50.620
0.050,-52.812,50.737,108.393,-52.597,-6071.000,-12054.000,-52.734,50.691
0.051,-52.907,50.825,108.393,-52.597,-6073.000,-12056.000,-52.840,50.765
0.052,-52.973,50.886,108.393,-52.597,-6074.000,-12057.000,-52.928,50.840
0.053,-53.016,50.968,108.393,-52.597,-6075.000,-12059.000,-52.989,50.913
