Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,16.685,44.134,0.000,60.000,-4799.000,-11989.000,16.863,43.793
0.001,16.363,44.543,0.000,60.000,-4803.000,-12000.000,16.590,44.250
0.002,16.107,44.997,0.000,60.000,-4806.000,-12012.000,16.296,44.685
0.003,15.785,45.434,0.000,60.000,-4810.000,-12023.000,16.005,45.120
0.004,15.528,45.882,0.000,60.000,-4813.000,-12035.000,15.716,45.566
0.005,15.322,46.295,0.000,60.000,-4815.000,-12046.000,15.461,46.002
0.006,15.101,46.729,0.000,60.000,-4818.000,-12057.000,15.250,46.426
0.007,14.851,47.140,0.000,60.000,-4821.000,-12068.000,15.031,46.847
0.008,14.551,47.564,0.000,60.000,-4825.000,-12079.000,14.768,47.266
0.009,14.300,47.976,0.000,60.000,-4828.000,-12090.000,14.483,47.683
0.010,14.036,48.429,0.000,60.000,-4831.000,-12102.000,14.216,48.109
0.011,13.750,48.860,0.000,60.000,-4835.000,-12113.000,13.953,48.550
0.012,13.500,49.286,0.000,62.529,-4838.000,-12124.000,13.680,48.988
0.013,13.257,49.719,0.000,62.529,-4841.000,-12135.000,13.424,49.415
0.014,13.086,50.147,0.000,62.529,-4843.000,-12145.000,13.206,49.843
0.015,12.858,50.539,0.000,62.529,-4846.000,-12156.000,13.011,50.262
0.016,12.635,50.867,0.000,62.529,-4849.000,-12165.000,12.800,50.639
0.017,12.478,51.183,0.000,62.529,-4851.000,-12172.000,12.590,50.967
0.018,12.278,51.414,0.000,62.529,-4854.000,-12179.000,12.410,51.251
0.019,12.069,51.617,0.000,62.529,-4857.000,-12185.000,12.222,51.482
0.020,11.860,51.847,0.000,62.529,-4860.000,-12191.000,12.010,51.687
0.021,11.717,52.102,0.000,62.529,-4862.000,-12197.000,11.818,51.917
0.022,11.531,52.277,0.000,62.529,-4865.000,-12202.000,11.654,52.150
0.023,11.358,52.488,0.000,62.529,-4867.000,-12206.000,11.485,52.349
0.024,11.207,52.637,0.000,62.529,-4870.000,-12211.000,11.313,52.528
0.025,11.078,52.786,0.000,62.529,-4872.000,-12215.000,11.165,52.686
0.026,10.905,52.941,0.000,62.529,-4875.000,-12219.000,11.024,52.832
0.027,10.754,53.090,0.000,65.052,-4877.000,-12223.000,10.866,52.983
0.028,10.559,53.238,0.000,65.052,-4880.000,-12227.000,10.694,53.134
0.029,10.466,53.359,0.000,65.052,-4882.000,-12230.000,10.536,53.274
0.030,10.271,53.514,0.000,65.052,-4885.000,-12233.000,10.397,53.407
0.031,10.076,53.620,0.000,65.052,-4888.000,-12237.000,10.225,53.541
0.032,9.961,53.727,0.000,67.620,-4890.000,-12240.000,10.044,53.656
0.033,9.832,53.876,0.000,67.620,-4892.000,-12244.000,9.911,53.771
0.034,9.695,53.997,0.000,67.620,-4894.000,-12247.000,9.793,53.906
0.035,9.579,54.127,0.000,67.620,-4896.000,-12250.000,9.664,54.039
0.036,9.522,54.220,0.000,67.620,-4897.000,-12253.000,9.560,54.154
0.037,9.407,54.302,0.000,67.620,-4899.000,-12255.000,9.481,54.248
0.038,9.270,54.409,0.000,67.620,-4901.000,-12258.000,9.374,54.335
0.039,9.154,54.489,0.000,67.620,-4903.000,-12260.000,9.240,54.429
0.040,9.039,54.576,0.000,67.620,-4905.000,-12262.000,9.117,54.518
0.041,8.916,54.642,0.000,67.620,-4907.000,-12264.000,9.002,54.595
0.042,8.801,54.722,0.000,70.205,-4909.000,-12266.000,8.884,54.667
0.043,8.721,54.761,0.000,70.205,-4910.000,-12267.000,8.777,54.732
0.044,8.642,54.849,0.000,70.205,-4912.000,-12269.000,8.693,54.791
0.045,8.461,54.857,0.000,70.205,-4915.000,-12270.000,8.589,54.846
0.046,8.403,54.897,0.000,70.205,-4916.000,-12271.000,8.457,54.877
0.047,8.302,54.956,0.000,70.205,-4918.000,-12272.000,8.359,54.911
0.048,8.179,54.980,0.000,70.205,-4920.000,-12273.000,8.269,54.959
0.049,8.121,55.020,0.000,70.205,-4921.000,-12274.000,8.167,54.997
0.050,7.998,55.016,0.000,70.205,-4923.000,-12274.000,8.077,55.018
0.051,7.940,55.042,0.000,70.205,-4924.000,-12275.000,7.988,55.028
0.052,7.919,55.062,0.000,75.162,-4925.000,-12275.000,7.928,55.045
0.053,7.839,55.102,0.000,75.162,-4926.000,-12276.000,7.890,55.074
0.054,7.795,55.100,0.000,75.162,-4927.000,-12276.000,7.834,55.099
0.055,7.738,55.098,0.000,75.162,-4928.000,-12276.000,7.775,55.104
0.056,7.694,55.096,0.000,75.162,-4929.000,-12276.000,7.725,55.098
0.057,7.629,55.094,0.000,75.162,-4930.000,-12276.000,7.674,55.095
0.058,7.571,55.078,0.000,75.162,-4931.000,-12276.000,7.614,55.089
0.059,7.527,55.084,0.000,75.162,-4932.000,-12276.000,7.557,55.082
