Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-28.831,84.566,-62.463,76.085,-5646.000,-12983.000,-28.734,84.593
0.001,-28.970,84.604,-62.463,76.085,-5649.000,-12983.000,-28.863,84.584
0.002,-29.065,84.622,-62.463,76.085,-5651.000,-12983.000,-28.997,84.600
0.003,-29.218,84.582,-62.463,76.085,-5654.000,-12982.000,-29.117,84.611
0.004,-29.313,84.600,-62.463,76.085,-5656.000,-12982.000,-29.239,84.596
0.005,-29.453,84.616,-62.463,76.085,-5659.000,-12982.000,-29.360,84.597
0.006,-29.518,84.572,-62.463,76.085,-5660.000,-12981.000,-29.468,84.602
0.007,-29.613,84.576,-62.463,76.085,-5662.000,-12981.000,-29.554,84.582
0.008,-29.745,84.572,-62.463,76.085,-5665.000,-12980.000,-29.649,84.569
0.009,-29.840,84.568,-62.463,76.085,-5667.000,-12980.000,-29.767,84.571
0.010,-29.949,84.545,-62.463,76.085,-5669.000,-12979.000,-29.877,84.562
0.011,-30.023,84.521,-62.463,76.085,-5671.000,-12978.000,-29.970,84.540
0.012,-30.132,84.525,-62.463,76.085,-5673.000,-12978.000,-30.058,84.522
0.013,-30.293,84.499,-62.463,76.085,-5676.000,-12977.000,-30.175,84.513
0.014,-30.380,84.475,-62.463,76.085,-5678.000,-12976.000,-30.311,84.496
0.015,-30.541,84.477,-62.463,76.085,-5680.000,-12976.000,-30.437,84.476
0.016,-30.650,84.453,-62.463,76.085,-5683.000,-12975.000,-30.565,84.467
0.017,-30.724,84.430,-62.463,76.085,-5685.000,-12974.000,-30.676,84.450
0.018,-30.833,84.406,-62.463,76.085,-5687.000,-12973.000,-30.761,84.423
0.019,-30.942,84.382,-62.463,76.085,-5689.000,-12972.000,-30.860,84.398
0.020,-31.038,84.336,-62.463,76.085,-5691.000,-12971.000,-30.969,84.369
0.021,-31.125,84.334,-62.463,76.085,-5693.000,-12970.000,-31.066,84.339
0.022,-31.234,84.261,-62.463,76.085,-5695.000,-12969.000,-31.158,84.308
0.023,-31.300,84.239,-62.463,76.085,-5696.000,-12969.000,-31.250,84.263
0.024,-31.395,84.257,-62.463,76.085,-5698.000,-12968.000,-31.333,84.239
0.025,-31.483,84.233,-62.463,76.085,-5700.000,-12967.000,-31.418,84.244
0.026,-31.592,84.168,-62.463,76.085,-5702.000,-12965.000,-31.515,84.220
0.027,-31.687,84.122,-62.463,76.085,-5704.000,-12964.000,-31.618,84.160
0.028,-31.775,84.120,-62.463,76.085,-5706.000,-12963.000,-31.714,84.118
0.029,-31.884,84.074,-62.463,76.085,-5708.000,-12962.000,-31.808,84.100
0.030,-31.949,84.053,-62.463,76.085,-5709.000,-12961.000,-31.900,84.074
0.031,-32.045,84.007,-62.463,76.085,-5711.000,-12960.000,-31.982,84.037
0.032,-32.132,83.991,108.393,-52.597,-5713.000,-12960.000,-32.067,84.004
0.033,-32.198,83.989,108.393,-52.597,-5714.000,-12959.000,-32.151,83.987
0.034,-32.293,83.965,108.393,-52.597,-5716.000,-12958.000,-32.229,83.980
0.035,-32.337,83.922,108.393,-52.597,-5717.000,-12957.000,-32.302,83.956
0.036,-32.446,83.898,108.393,-52.597,-5719.000,-12956.000,-32.374,83.917
0.037,-32.490,83.876,108.393,-52.597,-5720.000,-12955.000,-32.451,83.888
0.038,-32.599,83.852,108.393,-52.597,-5722.000,-12954.000,-32.529,83.868
0.039,-32.643,83.808,108.393,-52.597,-5723.000,-12953.000,-32.605,83.840
0.040,-32.738,83.826,108.393,-52.597,-5725.000,-12953.000,-32.677,83.816
0.041,-32.803,83.783,108.393,-52.597,-5726.000,-12952.000,-32.752,83.806
0.042,-32.891,83.745,108.393,-52.597,-5728.000,-12951.000,-32.832,83.779
0.043,-32.956,83.723,108.393,-52.597,-5729.000,-12950.000,-32.908,83.739
0.044,-33.052,83.741,108.393,-52.597,-5731.000,-12950.000,-32.987,83.725
0.045,-33.161,83.695,108.393,-52.597,-5733.000,-12949.000,-33.080,83.723
0.046,-33.183,83.674,108.393,-52.597,-5734.000,-12948.000,-33.165,83.697
0.047,-33.278,83.692,108.393,-52.597,-5736.000,-12948.000,-33.222,83.677
0.048,-33.344,83.648,108.393,-52.597,-5737.000,-12947.000,-33.289,83.672
0.049,-33.439,83.624,108.393,-52.597,-5738.000,-12946.000,-33.373,83.649
0.050,-33.505,83.630,108.393,-52.597,-5740.000,-12946.000,-33.456,83.624
0.051,-33.526,83.586,108.393,-52.597,-5741.000,-12945.000,-33.514,83.612
0.052,-33.592,83.564,108.393,-52.597,-5742.000,-12944.000,-33.551,83.586
0.053,-33.636,83.562,108.393,-52.597,-5743.000,-12944.000,-33.599,83.562
0.054,-33.701,83.541,108.393,-52.597,-5744.000,-12943.000,-33.657,83.553
0.055,-33.745,83.539,108.393,-52.597,-5745.000,-12943.000,-33.712,83.543
0.056,-33.811,83.495,108.393,-52.597,-5746.000,-12942.000,-33.767,83.524
0.057,-33.840,83.515,108.393,-52.597,-5747.000,-12942.000,-33.817,83.505
0.058,-33.884,83.493,108.393,-52.597,-5748.000,-12941.000,-33.857,83.501
0.059,-33.950,83.449,108.393,-52.597,-5749.000,-12940.000,-33.902,83.485
0.060,-33.993,83.447,108.393,-52.597,-5750.000,-12940.000,-33.959,83.453
0.061,-34.059,83.426,108.393,-52.597,-5751.000,-12939.000,-34.015,83.435
0.062,-34.089,83.424,108.393,-52.597,-5752.000,-12939.000,-34.065,83.427
0.063,-34.154,83.402,108.393,-52.597,-5753.000,-12938.000,-34.112,83.416
0.064,-34.198,83.400,108.393,-52.597,-5754.000,-12938.000,-34.163,83.403
0.065,-34.198,83.358,108.393,-52.597,-5754.000,-12937.000,-34.200,83.385
0.066,-34.263,83.314,108.393,-52.597,-5755.000,-12936.000,-34.223,83.350
0.067,-34.285,83.334,108.393,-52.597,-5756.000,-12936.000,-34.262,83.321
