Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-55.214,42.343,-62.463,76.085,-6114.000,-11833.000,-55.219,42.179
0.001,-55.257,42.641,-62.463,76.085,-6115.000,-11840.000,-55.229,42.431
0.002,-55.257,42.878,-62.463,76.085,-6115.000,-11846.000,-55.251,42.702
0.003,-55.257,43.156,-62.463,76.085,-6115.000,-11852.000,-55.262,42.966
0.004,-55.257,43.392,-62.463,76.085,-6115.000,-11859.000,-55.258,43.222
0.005,-55.257,43.643,-62.463,76.085,-6115.000,-11865.000,-55.256,43.470
0.006,-55.257,43.921,-62.463,76.085,-6115.000,-11872.000,-55.257,43.723
0.007,-55.301,44.178,-62.463,76.085,-6116.000,-11877.000,-55.270,43.992
0.008,-55.301,44.373,-62.463,76.085,-6116.000,-11883.000,-55.296,44.238
0.009,-55.301,44.526,-62.463,76.085,-6116.000,-11887.000,-55.306,44.426
0.010,-55.301,44.720,-62.463,76.085,-6116.000,-11892.000,-55.302,44.587
0.011,-55.301,44.887,-62.463,76.085,-6116.000,-11896.000,-55.300,44.763
0.012,-55.301,45.082,-62.463,76.085,-6116.000,-11900.000,-55.301,44.947
0.013,-55.301,45.235,-62.463,76.085,-6116.000,-11904.000,-55.301,45.125
0.014,-55.301,45.361,-62.463,76.085,-6116.000,-11908.000,-55.301,45.277
0.015,-55.301,45.514,-62.463,76.085,-6116.000,-11912.000,-55.301,45.409
0.016,-55.301,45.681,-62.463,76.085,-6116.000,-11916.000,-55.301,45.558
0.017,-55.301,45.834,-62.463,76.085,-6116.000,-11920.000,-55.301,45.723
0.018,-55.301,45.959,-62.463,76.085,-6116.000,-11923.000,-55.301,45.873
0.019,-55.301,46.112,-62.463,76.085,-6116.000,-11927.000,-55.301,46.008
0.020,-55.301,46.279,-62.463,76.085,-6116.000,-11931.000,-55.301,46.157
0.021,-55.301,46.432,-62.463,76.085,-6116.000,-11934.000,-55.301,46.322
0.022,-55.301,46.557,-62.463,76.085,-6116.000,-11938.000,-55.301,46.471
0.023,-55.301,46.710,-62.463,76.085,-6116.000,-11942.000,-55.301,46.606
0.024,-55.301,46.877,-62.463,76.085,-6116.000,-11945.000,-55.301,46.756
0.025,-55.287,46.989,-62.463,76.085,-6116.000,-11949.000,-55.297,46.908
0.026,-55.287,47.156,-62.463,76.085,-6116.000,-11953.000,-55.289,47.045
0.027,-55.287,47.309,-62.463,76.085,-6116.000,-11957.000,-55.285,47.194
0.028,-55.287,47.462,108.393,-52.597,-6116.000,-11961.000,-55.287,47.354
0.029,-55.287,47.629,108.393,-52.597,-6116.000,-11965.000,-55.287,47.512
0.030,-55.287,47.782,108.393,-52.597,-6116.000,-11969.000,-55.287,47.672
0.031,-55.287,47.949,108.393,-52.597,-6116.000,-11973.000,-55.287,47.832
0.032,-55.273,48.116,108.393,-52.597,-6116.000,-11977.000,-55.283,47.996
0.033,-55.273,48.269,108.393,-52.597,-6116.000,-11981.000,-55.275,48.161
0.034,-55.273,48.422,108.393,-52.597,-6116.000,-11985.000,-55.271,48.316
0.035,-55.273,48.589,108.393,-52.597,-6116.000,-11989.000,-55.273,48.471
0.036,-55.273,48.742,108.393,-52.597,-6116.000,-11993.000,-55.273,48.632
0.037,-55.259,48.909,108.393,-52.597,-6116.000,-11997.000,-55.269,48.793
0.038,-55.259,49.021,108.393,-52.597,-6116.000,-12000.000,-55.261,48.940
0.039,-55.259,49.187,108.393,-52.597,-6116.000,-12004.000,-55.257,49.076
0.040,-55.259,49.341,108.393,-52.597,-6116.000,-12008.000,-55.259,49.226
0.041,-55.245,49.508,108.393,-52.597,-6116.000,-12012.000,-55.255,49.390
0.042,-55.245,49.619,108.393,-52.597,-6116.000,-12015.000,-55.247,49.540
0.043,-55.245,49.786,108.393,-52.597,-6116.000,-12019.000,-55.244,49.674
0.044,-55.245,49.939,108.393,-52.597,-6116.000,-12023.000,-55.245,49.824
0.045,-55.231,50.064,108.393,-52.597,-6116.000,-12026.000,-55.241,49.976
0.046,-55.231,50.217,108.393,-52.597,-6116.000,-12030.000,-55.233,50.114
0.047,-55.231,50.343,108.393,-52.597,-6116.000,-12033.000,-55.230,50.250
0.048,-55.231,50.454,108.393,-52.597,-6116.000,-12036.000,-55.231,50.378
0.049,-55.217,50.621,108.393,-52.597,-6116.000,-12040.000,-55.228,50.505
0.050,-55.217,50.732,108.393,-52.597,-6116.000,-12043.000,-55.219,50.646
0.051,-55.217,50.857,108.393,-52.597,-6116.000,-12046.000,-55.216,50.775
0.052,-55.217,50.941,108.393,-52.597,-6116.000,-12048.000,-55.217,50.881
0.053,-55.217,51.052,108.393,-52.597,-6116.000,-12051.000,-55.218,50.977
0.054,-55.203,51.136,108.393,-52.597,-6116.000,-12053.000,-55.213,51.073
0.055,-55.203,51.219,108.393,-52.597,-6116.000,-12055.000,-55.205,51.163
0.056,-55.160,51.269,108.393,-52.597,-6115.000,-12057.000,-55.189,51.234
0.057,-55.160,51.352,108.393,-52.597,-6115.000,-12059.000,-55.165,51.297
0.058,-55.160,51.394,108.393,-52.597,-6115.000,-12060.000,-55.155,51.360
0.059,-55.160,51.436,108.393,-52.597,-6115.000,-12061.000,-55.159,51.411
0.060,-55.160,51.478,108.393,-52.597,-6115.000,-12062.000,-55.161,51.449
0.061,-55.116,51.500,108.393,-52.597,-6114.000,-12063.000,-55.147,51.483
0.062,-55.116,51.500,108.393,-52.597,-6114.000,-12063.000,-55.121,51.502
0.063,-55.051,51.501,108.393,-52.597,-6113.000,-12063.000,-55.092,51.503
0.064,-55.051,51.501,108.393,-52.597,-6113.000,-12063.000,-55.058,51.501
0.065,-55.051,51.460,108.393,-52.597,-6113.000,-12062.000,-55.043,51.489
0.066,-55.007,51.440,108.393,-52.597,-6112.000,-12062.000,-55.037,51.459
0.067,-54.941,51.378,108.393,-52.597,-6111.000,-12061.000,-54.994,51.419
0.068,-54.941,51.350,108.393,-52.597,-6111.000,-12060.000,-54.944,51.374
0.069,-54.876,51.311,108.393,-52.597,-6110.000,-12059.000,-54.913,51.335
0.070,-54.846,51.207,108.393,-52.597,-6109.000,-12057.000,-54.874,51.281
0.071,-54.846,51.138,108.393,-52.597,-6109.000,-12055.000,-54.843,51.195
0.072,-54.780,51.056,108.393,-52.597,-6108.000,-12053.000,-54.822,51.109
0.073,-54.737,50.925,108.393,-52.597,-6107.000,-12050.000,-54.776,51.018
0.074,-54.751,50.758,108.393,-52.597,-6107.000,-12046.000,-54.739,50.883
0.075,-54.685,50.607,108.393,-52.597,-6106.000,-12042.000,-54.723,50.718
0.076,-54.620,50.392,108.393,-52.597,-6105.000,-12037.000,-54.676,50.541
0.077,-54.633,50.163,108.393,-52.597,-6105.000,-12032.000,-54.625,50.332
0.078,-54.612,49.927,108.393,-52.597,-6104.000,-12026.000,-54.616,50.096
0.079,-54.560,49.670,108.393,-52.597,-6103.000,-12020.000,-54.601,49.851
0.080,-54.494,49.477,108.393,-52.597,-6102.000,-12015.000,-54.546,49.616
0.081,-54.494,49.241,108.393,-52.597,-6102.000,-12009.000,-54.495,49.400
0.082,-54.465,49.026,108.393,-52.597,-6101.000,-12004.000,-54.477,49.183
0.083,-54.399,48.792,108.393,-52.597,-6100.000,-11998.000,-54.449,48.956
0.084,-54.290,48.537,108.393,-52.597,-6098.000,-11992.000,-54.373,48.719
0.085,-54.260,48.281,108.393,-52.597,-6097.000,-11986.000,-54.286,48.465
0.086,-54.216,48.024,108.393,-52.597,-6096.000,-11980.000,-54.237,48.205
0.087,-54.151,47.789,108.393,-52.597,-6095.000,-11974.000,-54.198,47.955
0.088,-54.099,47.533,108.393,-52.597,-6094.000,-11968.000,-54.140,47.712
0.089,-53.990,47.278,108.393,-52.597,-6092.000,-11963.000,-54.065,47.461
0.090,-53.924,47.064,108.393,-52.597,-6091.000,-11957.000,-53.977,47.216
0.091,-53.902,46.807,108.393,-52.597,-6090.000,-11951.000,-53.913,46.983
0.092,-53.771,46.553,108.393,-52.597,-6088.000,-11945.000,-53.858,46.738
0.093,-53.728,46.318,108.393,-52.597,-6087.000,-11939.000,-53.773,46.485
0.094,-53.662,46.062,108.393,-52.597,-6086.000,-11933.000,-53.699,46.240
0.095,-53.618,45.827,108.393,-52.597,-6085.000,-11927.000,-53.650,45.995
0.096,-53.553,45.529,108.393,-52.597,-6084.000,-11920.000,-53.598,45.738
0.097,-53.465,45.233,108.393,-52.597,-6082.000,-11913.000,-53.530,45.449
0.098,-53.400,44.976,108.393,-52.597,-6081.000,-11907.000,-53.449,45.158
0.099,-53.334,44.741,108.393,-52.597,-6080.000,-11901.000,-53.378,44.901
0.100,-53.225,44.437,108.393,-52.597,-6078.000,-11894.000,-53.302,44.650
0.101,-53.181,44.161,108.393,-52.597,-6077.000,-11888.000,-53.218,44.366
0.102,-53.138,43.863,108.393,-52.597,-6076.000,-11880.000,-53.161,44.071
0.103,-53.072,43.564,108.393,-52.597,-6075.000,-11873.000,-53.117,43.776
0.104,-53.028,43.288,108.393,-52.597,-6074.000,-11866.000,-53.063,43.484
