Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-128.533,-40.235,-142.500,-45.000,-7489.000,-9177.000,-127.996,-40.410
0.001,-128.750,-40.154,-142.500,-45.000,-7492.000,-9177.000,-128.529,-40.236
0.002,-128.938,-40.108,-142.500,-45.000,-7495.000,-9177.000,-128.871,-40.120
0.003,-129.163,-40.026,-142.500,-45.000,-7498.000,-9177.000,-129.019,-40.075
0.004,-129.366,-39.973,-142.500,-45.000,-7501.000,-9177.000,-129.207,-40.018
0.005,-129.568,-39.891,-142.500,-45.000,-7504.000,-9177.000,-129.425,-39.947
0.006,-129.771,-39.823,-142.500,-45.000,-7507.000,-9177.000,-129.630,-39.873
0.007,-129.995,-39.764,-142.500,-45.000,-7510.000,-9177.000,-129.837,-39.805
0.008,-130.198,-39.696,-142.500,-45.000,-7513.000,-9177.000,-130.052,-39.743
0.009,-130.321,-39.648,-142.500,-45.000,-7515.000,-9177.000,-130.237,-39.683
0.010,-130.546,-39.589,-142.500,-45.000,-7518.000,-9177.000,-130.397,-39.629
0.011,-130.748,-39.521,-142.500,-45.000,-7521.000,-9177.000,-130.592,-39.570
0.012,-130.907,-39.459,-142.500,-45.000,-7523.000,-9177.000,-130.796,-39.504
0.013,-131.110,-39.392,-142.500,-45.000,-7526.000,-9177.000,-130.974,-39.439
0.014,-131.299,-39.324,-142.500,-45.000,-7529.000,-9177.000,-131.160,-39.372
0.015,-131.523,-39.264,-142.500,-45.000,-7532.000,-9177.000,-131.365,-39.307
0.016,-131.704,-39.183,-142.500,-45.000,-7535.000,-9177.000,-131.573,-39.239
0.017,-131.928,-39.115,-142.500,-45.000,-7538.000,-9177.000,-131.775,-39.166
0.018,-132.073,-39.089,-142.500,-45.000,-7540.000,-9177.000,-131.966,-39.106
0.019,-132.210,-39.028,-142.500,-45.000,-7542.000,-9177.000,-132.122,-39.066
0.020,-132.355,-38.980,-142.500,-45.000,-7544.000,-9177.000,-132.255,-39.018
0.021,-132.558,-38.920,-142.500,-45.000,-7547.000,-9177.000,-132.412,-38.962
0.022,-132.681,-38.859,-142.500,-45.000,-7549.000,-9177.000,-132.587,-38.903
0.023,-132.906,-38.791,-142.500,-45.000,-7552.000,-9177.000,-132.757,-38.839
0.024,-133.051,-38.765,-142.500,-45.000,-7554.000,-9177.000,-132.937,-38.784
0.025,-133.232,-38.698,-142.500,-45.000,-7557.000,-9177.000,-133.112,-38.740
0.026,-133.456,-38.616,-142.500,-45.000,-7560.000,-9177.000,-133.295,-38.679
0.027,-133.601,-38.554,-142.500,-45.000,-7562.000,-9177.000,-133.492,-38.600
0.028,-133.804,-38.487,-142.500,-45.000,-7565.000,-9177.000,-133.670,-38.531
0.029,-133.949,-38.447,-142.500,-45.000,-7567.000,-9177.000,-133.840,-38.475
0.030,-134.086,-38.399,-142.500,-45.000,-7569.000,-9177.000,-133.994,-38.430
0.031,-134.209,-38.351,-142.500,-45.000,-7571.000,-9177.000,-134.124,-38.386
0.032,-134.354,-38.312,-142.500,-45.000,-7573.000,-9177.000,-134.252,-38.340
0.033,-134.499,-38.250,-142.500,-45.000,-7575.000,-9177.000,-134.393,-38.292
0.034,-134.636,-38.210,-135.000,-37.500,-7577.000,-9177.000,-134.539,-38.241
0.035,-134.759,-38.162,-135.000,-37.500,-7579.000,-9177.000,-134.674,-38.194
0.036,-134.904,-38.123,-135.000,-37.500,-7581.000,-9177.000,-134.803,-38.151
0.037,-135.107,-38.055,-135.000,-37.500,-7584.000,-9177.000,-134.961,-38.102
0.038,-135.252,-38.007,-135.000,-37.500,-7586.000,-9177.000,-135.142,-38.044
0.039,-135.397,-37.968,-135.000,-37.500,-7588.000,-9177.000,-135.302,-37.993
0.040,-135.534,-37.906,-135.000,-37.500,-7590.000,-9177.000,-135.438,-37.948
0.041,-135.723,-37.838,-135.000,-37.500,-7593.000,-9177.000,-135.589,-37.889
0.042,-135.882,-37.777,-135.000,-37.500,-7595.000,-9177.000,-135.763,-37.821
0.043,-136.027,-37.737,-135.000,-37.500,-7597.000,-9177.000,-135.928,-37.764
0.044,-136.084,-37.709,-127.500,-37.500,-7598.000,-9177.000,-136.046,-37.726
0.045,-136.229,-37.683,-127.500,-37.500,-7600.000,-9177.000,-136.137,-37.700
0.046,-136.295,-37.641,-127.500,-37.500,-7601.000,-9177.000,-136.237,-37.671
0.047,-136.498,-37.582,-127.500,-37.500,-7604.000,-9177.000,-136.362,-37.626
0.048,-136.577,-37.540,-127.500,-37.500,-7605.000,-9177.000,-136.506,-37.572
0.049,-136.700,-37.514,-120.000,-37.500,-7607.000,-9177.000,-136.627,-37.530
0.050,-136.845,-37.452,-120.000,-37.500,-7608.000,-9177.000,-136.740,-37.494
0.051,-136.925,-37.432,-120.000,-37.500,-7610.000,-9177.000,-136.864,-37.451
0.052,-137.070,-37.371,-120.000,-37.500,-7612.000,-9177.000,-136.976,-37.410
0.053,-137.171,-37.337,-120.000,-37.500,-7614.000,-9177.000,-137.092,-37.365
0.054,-137.316,-37.297,-120.000,-37.500,-7616.000,-9177.000,-137.217,-37.323
0.055,-137.396,-37.277,-120.000,-37.500,-7617.000,-9177.000,-137.335,-37.291
0.056,-137.541,-37.216,-120.000,-37.500,-7619.000,-9177.000,-137.445,-37.257
0.057,-137.598,-37.174,-120.000,-37.500,-7620.000,-9177.000,-137.550,-37.209
0.058,-137.743,-37.148,-112.500,-30.000,-7622.000,-9177.000,-137.650,-37.164
0.059,-137.809,-37.128,-112.500,-30.000,-7623.000,-9177.000,-137.753,-37.139
0.060,-137.968,-37.067,-112.500,-30.000,-7625.000,-9177.000,-137.863,-37.110
0.061,-138.011,-37.047,-112.500,-30.000,-7626.000,-9177.000,-137.971,-37.066
0.062,-138.069,-37.005,-112.500,-30.000,-7627.000,-9177.000,-138.041,-37.029
0.063,-138.135,-36.999,-112.500,-30.000,-7628.000,-9177.000,-138.088,-37.005
0.064,-138.214,-36.979,-112.500,-30.000,-7629.000,-9177.000,-138.155,-36.990
0.065,-138.359,-36.931,-112.500,-30.000,-7631.000,-9177.000,-138.255,-36.966
0.066,-138.438,-36.911,-112.500,-30.000,-7632.000,-9177.000,-138.375,-36.929
0.067,-138.504,-36.870,-112.500,-30.000,-7633.000,-9177.000,-138.466,-36.896
0.068,-138.562,-36.850,-112.500,-30.000,-7634.000,-9177.000,-138.524,-36.866
0.069,-138.627,-36.844,-112.500,-30.000,-7635.000,-9177.000,-138.580,-36.846
0.070,-138.707,-36.802,-112.500,-30.000,-7636.000,-9177.000,-138.649,-36.829
0.071,-138.786,-36.782,-112.500,-30.000,-7637.000,-9177.000,-138.728,-36.801
0.072,-138.830,-36.762,-112.500,-30.000,-7638.000,-9177.000,-138.799,-36.774
