Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.001,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.002,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.003,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.004,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.005,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.006,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.007,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.008,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.009,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.010,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.011,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.012,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.013,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.014,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.015,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.016,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.017,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.018,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.019,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.020,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.021,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.022,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.023,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
0.024,-58.343,-0.035,-37.500,15.000,-6238.000,-10730.000,-58.343,-0.035
