Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,9.859,44.261,0.000,65.280,-4922.000,-12000.000,9.743,44.267
0.001,10.330,44.285,0.000,65.280,-4913.000,-12000.000,10.003,44.274
0.002,10.489,44.269,0.000,65.280,-4910.000,-12000.000,10.339,44.276
0.003,10.713,44.304,0.000,65.280,-4906.000,-12000.000,10.591,44.283
0.004,10.894,44.288,0.000,65.280,-4903.000,-12000.000,10.764,44.294
0.005,11.053,44.294,0.000,65.280,-4900.000,-12000.000,10.939,44.296
0.006,11.220,44.314,0.000,65.280,-4897.000,-12000.000,11.105,44.298
0.007,11.379,44.298,0.000,65.280,-4894.000,-12000.000,11.265,44.307
0.008,11.502,44.316,0.000,65.280,-4892.000,-12000.000,11.415,44.308
0.009,11.661,44.322,0.000,65.280,-4889.000,-12000.000,11.553,44.314
0.010,11.762,44.339,0.000,65.280,-4887.000,-12000.000,11.686,44.328
0.011,11.929,44.359,0.000,65.280,-4884.000,-12000.000,11.817,44.344
0.012,12.052,44.341,0.000,65.280,-4882.000,-12000.000,11.958,44.354
0.013,12.211,44.347,0.000,65.280,-4879.000,-12000.000,12.103,44.348
0.014,12.370,44.367,0.000,65.280,-4876.000,-12000.000,12.254,44.350
0.015,12.471,44.349,0.000,65.280,-4874.000,-12000.000,12.399,44.359
0.016,12.594,44.353,0.000,65.280,-4872.000,-12000.000,12.515,44.355
0.017,12.696,44.371,0.000,65.280,-4870.000,-12000.000,12.622,44.356
0.018,12.819,44.369,0.000,65.280,-4868.000,-12000.000,12.733,44.368
0.019,12.898,44.371,0.000,65.280,-4866.000,-12000.000,12.840,44.372
0.020,13.035,44.375,0.000,65.280,-4864.000,-12000.000,12.944,44.372
0.021,13.079,44.390,0.000,65.280,-4863.000,-12000.000,13.042,44.378
0.022,13.202,44.394,0.000,65.280,-4861.000,-12000.000,13.126,44.390
0.023,13.282,44.376,0.000,65.280,-4859.000,-12000.000,13.217,44.391
0.024,13.361,44.378,0.000,65.280,-4858.000,-12000.000,13.309,44.380
0.025,13.463,44.396,0.000,65.280,-4856.000,-12000.000,13.392,44.381
0.026,13.586,44.400,0.000,65.280,-4854.000,-12000.000,13.495,44.395
0.027,13.643,44.402,3.221,66.330,-4853.000,-12000.000,13.600,44.403
0.028,13.745,44.420,3.221,66.330,-4851.000,-12000.000,13.681,44.408
0.029,13.846,44.438,3.221,66.330,-4849.000,-12000.000,13.770,44.423
0.030,13.890,44.440,3.221,66.330,-4848.000,-12000.000,13.857,44.438
0.031,13.969,44.442,3.221,66.330,-4847.000,-12000.000,13.921,44.442
0.032,14.027,44.443,3.221,66.330,-4846.000,-12000.000,13.982,44.442
0.033,14.049,44.424,3.221,66.330,-4845.000,-12000.000,14.034,44.437
0.034,14.128,44.426,3.221,66.330,-4844.000,-12000.000,14.077,44.427
0.035,14.172,44.427,3.221,66.330,-4843.000,-12000.000,14.134,44.424
0.036,14.229,44.429,3.221,66.330,-4842.000,-12000.000,14.192,44.428
0.037,14.287,44.431,3.221,66.330,-4841.000,-12000.000,14.246,44.430
0.038,14.287,44.431,3.221,66.330,-4841.000,-12000.000,14.286,44.431
0.039,14.353,44.447,3.221,66.330,-4840.000,-12000.000,14.313,44.436
0.040,14.410,44.463,3.221,66.330,-4839.000,-12000.000,14.362,44.450
0.041,14.410,44.463,3.221,66.330,-4839.000,-12000.000,14.410,44.463
0.042,14.432,44.443,6.299,67.333,-4838.000,-12000.000,14.425,44.460
0.043,14.432,44.443,6.299,67.333,-4838.000,-12000.000,14.429,44.446
0.044,14.490,44.445,6.299,67.333,-4837.000,-12000.000,14.450,44.441
0.045,14.490,44.445,6.299,67.333,-4837.000,-12000.000,14.483,44.445
0.046,14.490,44.445,6.299,67.333,-4837.000,-12000.000,14.496,44.446
0.047,14.490,44.445,6.299,67.333,-4837.000,-12000.000,14.491,44.445
0.048,14.555,44.447,6.299,67.333,-4836.000,-12000.000,14.508,44.446
0.049,14.555,44.447,6.299,67.333,-4836.000,-12000.000,14.547,44.447
0.050,14.555,44.447,6.299,67.333,-4836.000,-12000.000,14.563,44.447
0.051,14.555,44.447,6.299,67.333,-4836.000,-12000.000,14.557,44.447
0.052,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.554,44.447
0.053,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.054,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.055,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.056,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.057,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.058,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.059,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.060,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.061,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.062,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.063,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.064,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.065,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.066,14.555,44.447,7.910,67.858,-4836.000,-12000.000,14.555,44.447
0.067,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.068,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.069,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.070,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.071,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.072,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.073,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.074,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.075,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.076,14.555,44.447,11.108,68.900,-4836.000,-12000.000,14.555,44.447
0.077,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.078,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.079,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.080,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.081,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.082,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.083,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.084,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.085,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.086,14.555,44.447,12.690,69.416,-4836.000,-12000.000,14.555,44.447
0.087,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.088,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.089,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.090,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.091,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.092,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.093,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.094,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.095,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.096,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.097,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.098,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
0.099,14.555,44.447,14.316,69.946,-4836.000,-12000.000,14.555,44.447
